Site     Lat          Lon            Elev       N (mm)    err     E (mm)    err     U (mm)    err
UWEV     19.42087     -155.29113     1257.7     019.0     1.0     -01.7     0.8     006.2     1.2
NUPM     19.38473     -155.17531     0933.4     003.1     0.3     -08.4     1.1     -05.1     1.6
AHUP     19.37911     -155.26610     1104.6     000.3     0.5     009.7     1.2     007.1     1.7
HOVL     19.40422     -155.27948     1129.0     037.2     1.9     006.2     1.0     022.5     1.6
CNPK     19.39223     -155.30564     1123.8     031.9     1.4     -77.1     2.9     056.2     3.0
BYRL     19.41196     -155.26003     1099.1     001.0     0.5     -14.0     0.9     -12.6     1.3
NPIT     19.41227     -155.28099     1132.2     013.6     0.9     001.6     1.0     003.4     1.3
KOSM     19.36332     -155.31646     0990.1     -26.3     0.9     -51.0     1.6     015.9     1.6
OUTL     19.38692     -155.28081     1103.4     014.8     0.6     022.4     1.2     044.3     3.1
CRIM     19.39528     -155.27376     1147.5     027.0     1.5     009.2     1.1     016.4     1.9
MANE     19.33905     -155.27326     0996.4     -02.9     0.5     -10.6     0.7     -04.9     1.2
HLNA     19.29325     -155.31022     0698.4     -00.5     0.3     -11.6     0.9     -00.3     1.0
KFAP     19.43835     -155.44062     2073.6     -00.1     0.2     -02.3     0.7     -03.1     0.9
AINP     19.37265     -155.45802     1567.9     -00.6     0.2     000.2     0.9     -12.9     1.0
GOPM     19.32232     -155.22235     0759.5     -03.3     0.3     -19.5     1.0     005.0     1.0
